epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,2864.01,1.19153,0.86765,1.1841,0.52367,0.79272,0.63908,0.39025,1.36443,1.01644,1.25891,0.0019364,0.0019364,0.0019364
94,2895.03,1.20428,0.84593,1.17953,0.82967,0.83936,0.90466,0.54989,1.30511,0.71252,1.27104,0.0019031,0.0019031,0.0019031
95,2923.37,1.21475,0.88346,1.1889,0.66156,0.80396,0.77755,0.47953,1.29627,0.8657,1.26572,0.0018698,0.0018698,0.0018698
96,2949.53,1.18391,0.86185,1.17249,0.70953,0.82935,0.83487,0.51858,1.316,0.79849,1.27506,0.0018365,0.0018365,0.0018365
97,2980.77,1.18579,0.82382,1.17329,0.74384,0.79786,0.85104,0.53548,1.26535,0.76681,1.25324,0.0018032,0.0018032,0.0018032
98,3011.59,1.17514,0.80872,1.16299,0.77649,0.83987,0.862,0.56,1.22335,0.74387,1.25252,0.0017699,0.0017699,0.0017699
99,3042.39,1.18882,0.81586,1.16516,0.80965,0.79025,0.88865,0.55207,1.32676,0.77508,1.25984,0.0017366,0.0017366,0.0017366
100,3073.27,1.19505,0.80738,1.1711,0.7662,0.80118,0.83619,0.53265,1.27453,0.77931,1.23785,0.0017033,0.0017033,0.0017033
101,3103.9,1.16111,0.7716,1.16267,0.84126,0.85494,0.90722,0.57693,1.26723,0.68524,1.25195,0.00167,0.00167,0.00167
102,3130.24,1.14404,0.79108,1.15244,0.79273,0.80262,0.87127,0.56388,1.22619,0.73671,1.22731,0.0016367,0.0016367,0.0016367
103,3161.76,1.17786,0.78148,1.16929,0.76235,0.80146,0.84105,0.53276,1.28787,0.77246,1.2474,0.0016034,0.0016034,0.0016034
104,3194.13,1.16855,0.78687,1.15281,0.79232,0.87249,0.89848,0.56239,1.31893,0.70732,1.25685,0.0015701,0.0015701,0.0015701
105,3224.5,1.15952,0.76631,1.17789,0.6222,0.80137,0.74537,0.47713,1.29142,0.90213,1.24704,0.0015368,0.0015368,0.0015368
106,3253.37,1.15658,0.74435,1.1529,0.8335,0.8467,0.88447,0.56798,1.26113,0.71055,1.23078,0.0015035,0.0015035,0.0015035
107,3279.91,1.18683,0.80644,1.17776,0.80352,0.83102,0.86709,0.56364,1.2574,0.71699,1.24279,0.0014702,0.0014702,0.0014702
108,3310.7,1.17122,0.74446,1.16344,0.91752,0.90232,0.94853,0.60402,1.28847,0.60199,1.26722,0.0014369,0.0014369,0.0014369
109,3343.78,1.18084,0.76717,1.17166,0.72384,0.79839,0.79415,0.50282,1.27296,0.84794,1.2523,0.0014036,0.0014036,0.0014036
110,3374.11,1.15145,0.71946,1.16408,0.77713,0.81528,0.82683,0.52438,1.2927,0.77184,1.23392,0.0013703,0.0013703,0.0013703
111,3405.2,1.15745,0.74281,1.15593,0.84127,0.84172,0.8781,0.56048,1.27541,0.71597,1.23707,0.001337,0.001337,0.001337
112,3433.9,1.16277,0.72725,1.14835,0.78553,0.79787,0.83542,0.51331,1.33039,0.78977,1.24656,0.0013037,0.0013037,0.0013037
113,3464.69,1.17174,0.76573,1.16704,0.82441,0.84602,0.85163,0.55666,1.19871,0.74326,1.2241,0.0012704,0.0012704,0.0012704
114,3493.47,1.16066,0.72834,1.14884,0.78219,0.80724,0.82268,0.51827,1.31978,0.80357,1.25874,0.0012371,0.0012371,0.0012371
115,3523.73,1.15698,0.71022,1.14454,0.78421,0.81973,0.84241,0.55164,1.24211,0.76796,1.23869,0.0012038,0.0012038,0.0012038
116,3554.51,1.15465,0.68492,1.15186,0.8491,0.84237,0.8804,0.57265,1.26815,0.71722,1.23795,0.0011705,0.0011705,0.0011705
117,3583.29,1.14446,0.68595,1.14194,0.86195,0.83677,0.88896,0.57414,1.26329,0.70974,1.23606,0.0011372,0.0011372,0.0011372
118,3613.77,1.14007,0.69876,1.13877,0.80768,0.85159,0.87974,0.56786,1.24176,0.72582,1.2154,0.0011039,0.0011039,0.0011039
119,3644.61,1.16068,0.68156,1.13648,0.89693,0.88913,0.93943,0.60345,1.2969,0.61602,1.22942,0.0010706,0.0010706,0.0010706
120,3673.29,1.13899,0.68356,1.13904,0.82871,0.84249,0.88914,0.58576,1.22607,0.68594,1.21667,0.0010373,0.0010373,0.0010373
121,3703.89,1.13166,0.68253,1.13652,0.80396,0.83349,0.85755,0.54173,1.32543,0.75481,1.23597,0.001004,0.001004,0.001004
122,3734.84,1.14022,0.66521,1.13063,0.85655,0.84501,0.8848,0.58807,1.21526,0.67438,1.21258,0.0009707,0.0009707,0.0009707
123,3763.47,1.14115,0.67829,1.13744,0.82359,0.82764,0.85334,0.5434,1.31,0.75107,1.2316,0.0009374,0.0009374,0.0009374
124,3794.21,1.12186,0.65752,1.13416,0.85667,0.85566,0.9084,0.59858,1.24656,0.65341,1.23077,0.0009041,0.0009041,0.0009041
125,3824.93,1.11892,0.63797,1.12299,0.84179,0.8317,0.87638,0.58477,1.20127,0.70094,1.21336,0.0008708,0.0008708,0.0008708
126,3853.69,1.11789,0.65824,1.13135,0.86248,0.87047,0.89727,0.58545,1.2661,0.6724,1.22385,0.0008375,0.0008375,0.0008375
127,3884.46,1.10846,0.64702,1.1118,0.8811,0.87066,0.91335,0.60008,1.24625,0.63137,1.22169,0.0008042,0.0008042,0.0008042
128,3915.13,1.12064,0.64532,1.14093,0.79132,0.81704,0.83215,0.54442,1.28233,0.77519,1.23255,0.0007709,0.0007709,0.0007709
129,3943.61,1.12978,0.63882,1.13552,0.86059,0.84071,0.87377,0.58159,1.23421,0.70609,1.22311,0.0007376,0.0007376,0.0007376
130,3974.33,1.10488,0.62456,1.12612,0.83554,0.83009,0.86393,0.54919,1.31265,0.71921,1.24391,0.0007043,0.0007043,0.0007043
131,4004.41,1.10858,0.64464,1.11938,0.85499,0.84058,0.87251,0.58556,1.18916,0.69655,1.21278,0.000671,0.000671,0.000671
132,4033.84,1.11575,0.64705,1.13474,0.85983,0.83523,0.88145,0.58637,1.242,0.689,1.21708,0.0006377,0.0006377,0.0006377
133,4064.5,1.12028,0.66285,1.13741,0.70068,0.80298,0.77082,0.50495,1.26497,0.87084,1.22514,0.0006044,0.0006044,0.0006044
134,4093.18,1.08342,0.62483,1.10723,0.80945,0.83223,0.85446,0.57359,1.2047,0.72607,1.21488,0.0005711,0.0005711,0.0005711
135,4124.03,1.11384,0.6391,1.13221,0.8893,0.87015,0.90567,0.60211,1.23702,0.64315,1.2246,0.0005378,0.0005378,0.0005378
136,4154.76,1.11952,0.63263,1.13493,0.85268,0.85329,0.8806,0.56956,1.29609,0.69822,1.23597,0.0005045,0.0005045,0.0005045
137,4183.34,1.10118,0.63433,1.12497,0.86439,0.85364,0.89148,0.60014,1.19895,0.66749,1.21062,0.0004712,0.0004712,0.0004712
138,4214.18,1.10151,0.63837,1.12338,0.84177,0.86069,0.88416,0.58265,1.25103,0.69216,1.21889,0.0004379,0.0004379,0.0004379
139,4244.81,1.10269,0.60731,1.12531,0.85962,0.85004,0.89806,0.59597,1.22999,0.6612,1.2136,0.0004046,0.0004046,0.0004046
